Data; Group; Nome_POD; CURL
seg 27 fev 2023 18:08:09 -03; Group 2; db-684b9b49fd-bnrfq; 61.01677532089
seg 27 fev 2023 18:08:30 -03; Group 2; db-684b9b49fd-bnrfq; 21.01677532110
seg 27 fev 2023 18:08:51 -03; Group 2; db-684b9b49fd-bnrfq; 21.01677532131
seg 27 fev 2023 18:09:12 -03; Group 2; db-684b9b49fd-bnrfq; 61.01677532152
seg 27 fev 2023 18:09:33 -03; Group 2; db-684b9b49fd-bnrfq; 21.01677532173
seg 27 fev 2023 18:09:54 -03; Group 2; db-684b9b49fd-bnrfq; 21.01677532194
seg 27 fev 2023 18:10:15 -03; Group 2; db-684b9b49fd-bnrfq; 61.01677532215
seg 27 fev 2023 18:10:35 -03; Group 2; db-684b9b49fd-bnrfq; 20.01677532235
seg 27 fev 2023 18:10:56 -03; Group 2; db-684b9b49fd-bnrfq; 21.01677532256
seg 27 fev 2023 18:11:17 -03; Group 2; db-684b9b49fd-bnrfq; 61.01677532277
seg 27 fev 2023 18:11:38 -03; Group 2; db-684b9b49fd-bnrfq; 21.01677532298
seg 27 fev 2023 18:11:59 -03; Group 2; db-684b9b49fd-bnrfq; 21.01677532319
seg 27 fev 2023 18:12:20 -03; Group 2; db-684b9b49fd-bnrfq; 61.01677532340
seg 27 fev 2023 18:12:40 -03; Group 2; db-684b9b49fd-bnrfq; 20.01677532360
seg 27 fev 2023 18:13:01 -03; Group 2; db-684b9b49fd-bnrfq; 61.01677532381
seg 27 fev 2023 18:13:22 -03; Group 2; db-684b9b49fd-bnrfq; 21.01677532402
seg 27 fev 2023 18:13:43 -03; Group 2; db-684b9b49fd-bnrfq; 21.01677532423
seg 27 fev 2023 18:14:04 -03; Group 2; db-684b9b49fd-bnrfq; 61.01677532444
seg 27 fev 2023 18:14:25 -03; Group 2; db-684b9b49fd-bnrfq; 21.01677532465
seg 27 fev 2023 18:14:45 -03; Group 2; db-684b9b49fd-bnrfq; 20.01677532485
seg 27 fev 2023 18:15:06 -03; Group 2; db-684b9b49fd-bnrfq; 61.01677532506
seg 27 fev 2023 18:15:27 -03; Group 2; db-684b9b49fd-bnrfq; 21.01677532527
seg 27 fev 2023 18:15:48 -03; Group 2; db-684b9b49fd-bnrfq; 21.01677532548
seg 27 fev 2023 18:16:09 -03; Group 2; db-684b9b49fd-bnrfq; 61.01677532569
seg 27 fev 2023 18:16:30 -03; Group 2; db-684b9b49fd-bnrfq; 21.01677532590
seg 27 fev 2023 18:16:51 -03; Group 2; db-684b9b49fd-bnrfq; 21.01677532611
seg 27 fev 2023 18:17:12 -03; Group 2; db-684b9b49fd-bnrfq; 61.01677532632
seg 27 fev 2023 18:17:32 -03; Group 2; db-684b9b49fd-bnrfq; 20.01677532652
seg 27 fev 2023 18:17:53 -03; Group 2; db-684b9b49fd-bnrfq; 21.01677532673
seg 27 fev 2023 18:18:14 -03; Group 2; db-684b9b49fd-bnrfq; 61.01677532694
seg 27 fev 2023 18:18:19 -03; Group 2; redis-67db9bd79b-6v9ng; 5.01677532699
seg 27 fev 2023 18:18:25 -03; Group 2; redis-67db9bd79b-6v9ng; 6.01677532705
seg 27 fev 2023 18:18:30 -03; Group 2; redis-67db9bd79b-6v9ng; 5.01677532710
seg 27 fev 2023 18:18:35 -03; Group 2; redis-67db9bd79b-6v9ng; 5.01677532715
seg 27 fev 2023 18:18:40 -03; Group 2; redis-67db9bd79b-6v9ng; 5.01677532720
seg 27 fev 2023 18:18:46 -03; Group 2; redis-67db9bd79b-6v9ng; 6.01677532726
seg 27 fev 2023 18:18:51 -03; Group 2; redis-67db9bd79b-6v9ng; 5.01677532731
seg 27 fev 2023 18:18:56 -03; Group 2; redis-67db9bd79b-6v9ng; 5.01677532736
seg 27 fev 2023 18:19:01 -03; Group 2; redis-67db9bd79b-6v9ng; 45.01677532741
seg 27 fev 2023 18:19:07 -03; Group 2; redis-67db9bd79b-6v9ng; 6.01677532747
seg 27 fev 2023 18:19:12 -03; Group 2; redis-67db9bd79b-6v9ng; 5.01677532752
seg 27 fev 2023 18:19:17 -03; Group 2; redis-67db9bd79b-6v9ng; 5.01677532757
seg 27 fev 2023 18:19:22 -03; Group 2; redis-67db9bd79b-6v9ng; 5.01677532762
seg 27 fev 2023 18:19:28 -03; Group 2; redis-67db9bd79b-6v9ng; 6.01677532768
seg 27 fev 2023 18:19:33 -03; Group 2; redis-67db9bd79b-6v9ng; 5.01677532773
seg 27 fev 2023 18:19:38 -03; Group 2; redis-67db9bd79b-6v9ng; 5.01677532778
seg 27 fev 2023 18:19:43 -03; Group 2; redis-67db9bd79b-6v9ng; 5.01677532783
seg 27 fev 2023 18:19:48 -03; Group 2; redis-67db9bd79b-6v9ng; 5.01677532788
seg 27 fev 2023 18:19:54 -03; Group 2; redis-67db9bd79b-6v9ng; 6.01677532794
seg 27 fev 2023 18:19:59 -03; Group 2; redis-67db9bd79b-6v9ng; 5.01677532799
seg 27 fev 2023 18:20:04 -03; Group 2; redis-67db9bd79b-6v9ng; 45.01677532804
seg 27 fev 2023 18:20:09 -03; Group 2; redis-67db9bd79b-6v9ng; 5.01677532809
seg 27 fev 2023 18:20:15 -03; Group 2; redis-67db9bd79b-6v9ng; 6.01677532815
seg 27 fev 2023 18:20:20 -03; Group 2; redis-67db9bd79b-6v9ng; 5.01677532820
seg 27 fev 2023 18:20:25 -03; Group 2; redis-67db9bd79b-6v9ng; 5.01677532825
seg 27 fev 2023 18:20:30 -03; Group 2; redis-67db9bd79b-6v9ng; 5.01677532830
seg 27 fev 2023 18:20:36 -03; Group 2; redis-67db9bd79b-6v9ng; 6.01677532836
seg 27 fev 2023 18:20:41 -03; Group 2; redis-67db9bd79b-6v9ng; 5.01677532841
