Group,IPERF
Group 1,010.08
Group 1,010.08
Group 1,010.08
Group 1,010.08
Group 1,010.08
Group 1,010.09
Group 1,010.09
Group 1,010.09
Group 1,010.08
Group 1,010.08
Group 1,010.08
Group 1,010.08
Group 1,010.08
Group 1,010.08
Group 1,010.08
Group 1,010.08
Group 1,010.08
Group 1,010.08
Group 1,010.09
Group 1,010.09
Group 1,010.09
Group 1,010.08
Group 1,010.08
Group 1,010.08
Group 1,010.08
Group 1,010.09
Group 1,010.08
Group 1,010.09
Group 1,010.09
Group 1,010.08
Group 2,031.69
Group 2,031.89
Group 2,031.78
Group 2,031.89
Group 2,031.88
Group 2,031.84
Group 2,031.86
Group 2,031.86
Group 2,031.90
Group 2,031.88
Group 2,031.87
Group 2,031.77
Group 2,031.86
Group 2,031.89
Group 2,031.87
Group 2,031.87
Group 2,031.84
Group 2,031.87
Group 2,031.86
Group 2,031.73
Group 2,031.82
Group 2,031.86
Group 2,031.87
Group 2,031.81
Group 2,031.83
Group 2,031.87
Group 2,031.86
Group 2,031.86
Group 2,031.85
Group 2,031.89
