Data; Group; Nome_POD; WGET
dom 26 fev 2023 20:11:06 -03; Group 1; vote-79787c6c8b-msz44; 1.01677453066
dom 26 fev 2023 20:11:06 -03; Group 1; vote-79787c6c8b-msz44; .01677453066
dom 26 fev 2023 20:11:07 -03; Group 1; vote-79787c6c8b-msz44; 1.01677453067
dom 26 fev 2023 20:11:08 -03; Group 1; vote-79787c6c8b-msz44; 1.01677453068
dom 26 fev 2023 20:11:09 -03; Group 1; vote-79787c6c8b-msz44; 1.01677453069
dom 26 fev 2023 20:11:10 -03; Group 1; vote-79787c6c8b-msz44; 1.01677453070
dom 26 fev 2023 20:11:11 -03; Group 1; vote-79787c6c8b-msz44; 1.01677453071
dom 26 fev 2023 20:11:12 -03; Group 1; vote-79787c6c8b-msz44; 1.01677453072
dom 26 fev 2023 20:11:13 -03; Group 1; vote-79787c6c8b-msz44; 1.01677453073
dom 26 fev 2023 20:11:13 -03; Group 1; vote-79787c6c8b-msz44; .01677453073
dom 26 fev 2023 20:11:14 -03; Group 1; vote-79787c6c8b-msz44; 1.01677453074
dom 26 fev 2023 20:11:15 -03; Group 1; vote-79787c6c8b-msz44; 1.01677453075
dom 26 fev 2023 20:11:16 -03; Group 1; vote-79787c6c8b-msz44; 1.01677453076
dom 26 fev 2023 20:11:17 -03; Group 1; vote-79787c6c8b-msz44; 1.01677453077
dom 26 fev 2023 20:11:18 -03; Group 1; vote-79787c6c8b-msz44; 1.01677453078
dom 26 fev 2023 20:11:19 -03; Group 1; vote-79787c6c8b-msz44; 1.01677453079
dom 26 fev 2023 20:11:20 -03; Group 1; vote-79787c6c8b-msz44; .01677453079
dom 26 fev 2023 20:11:20 -03; Group 1; vote-79787c6c8b-msz44; .01677453080
dom 26 fev 2023 20:11:21 -03; Group 1; vote-79787c6c8b-msz44; 1.01677453081
dom 26 fev 2023 20:11:22 -03; Group 1; vote-79787c6c8b-msz44; 1.01677453082
dom 26 fev 2023 20:11:23 -03; Group 1; vote-79787c6c8b-msz44; 1.01677453083
dom 26 fev 2023 20:11:24 -03; Group 1; vote-79787c6c8b-msz44; 1.01677453084
dom 26 fev 2023 20:11:25 -03; Group 1; vote-79787c6c8b-msz44; 1.01677453085
dom 26 fev 2023 20:11:26 -03; Group 1; vote-79787c6c8b-msz44; 1.01677453086
dom 26 fev 2023 20:11:26 -03; Group 1; vote-79787c6c8b-msz44; .01677453086
dom 26 fev 2023 20:11:27 -03; Group 1; vote-79787c6c8b-msz44; .01677453087
dom 26 fev 2023 20:11:28 -03; Group 1; vote-79787c6c8b-msz44; 1.01677453088
dom 26 fev 2023 20:11:29 -03; Group 1; vote-79787c6c8b-msz44; 1.01677453089
dom 26 fev 2023 20:11:30 -03; Group 1; worker-78b9ff59fc-q8qjs; 1.01677453090
dom 26 fev 2023 20:11:31 -03; Group 1; worker-78b9ff59fc-q8qjs; 1.01677453091
dom 26 fev 2023 20:11:32 -03; Group 1; worker-78b9ff59fc-q8qjs; 1.01677453092
dom 26 fev 2023 20:11:33 -03; Group 1; worker-78b9ff59fc-q8qjs; 1.01677453093
dom 26 fev 2023 20:11:33 -03; Group 1; worker-78b9ff59fc-q8qjs; .01677453093
dom 26 fev 2023 20:11:34 -03; Group 1; worker-78b9ff59fc-q8qjs; 1.01677453094
dom 26 fev 2023 20:11:35 -03; Group 1; worker-78b9ff59fc-q8qjs; 1.01677453095
dom 26 fev 2023 20:11:36 -03; Group 1; worker-78b9ff59fc-q8qjs; 1.01677453096
dom 26 fev 2023 20:11:37 -03; Group 1; worker-78b9ff59fc-q8qjs; 1.01677453097
dom 26 fev 2023 20:11:38 -03; Group 1; worker-78b9ff59fc-q8qjs; 1.01677453098
dom 26 fev 2023 20:11:39 -03; Group 1; worker-78b9ff59fc-q8qjs; 1.01677453099
dom 26 fev 2023 20:11:39 -03; Group 1; worker-78b9ff59fc-q8qjs; .01677453099
dom 26 fev 2023 20:11:40 -03; Group 1; worker-78b9ff59fc-q8qjs; 1.01677453100
dom 26 fev 2023 20:11:41 -03; Group 1; worker-78b9ff59fc-q8qjs; 1.01677453101
dom 26 fev 2023 20:11:42 -03; Group 1; worker-78b9ff59fc-q8qjs; 1.01677453102
dom 26 fev 2023 20:11:43 -03; Group 1; worker-78b9ff59fc-q8qjs; 1.01677453103
dom 26 fev 2023 20:11:44 -03; Group 1; worker-78b9ff59fc-q8qjs; 1.01677453104
dom 26 fev 2023 20:11:45 -03; Group 1; worker-78b9ff59fc-q8qjs; .01677453105
dom 26 fev 2023 20:11:46 -03; Group 1; worker-78b9ff59fc-q8qjs; 1.01677453106
dom 26 fev 2023 20:11:46 -03; Group 1; worker-78b9ff59fc-q8qjs; .01677453106
dom 26 fev 2023 20:11:47 -03; Group 1; worker-78b9ff59fc-q8qjs; 1.01677453107
dom 26 fev 2023 20:11:48 -03; Group 1; worker-78b9ff59fc-q8qjs; 1.01677453108
dom 26 fev 2023 20:11:49 -03; Group 1; worker-78b9ff59fc-q8qjs; 1.01677453109
dom 26 fev 2023 20:11:50 -03; Group 1; worker-78b9ff59fc-q8qjs; 1.01677453110
dom 26 fev 2023 20:11:51 -03; Group 1; worker-78b9ff59fc-q8qjs; 1.01677453111
dom 26 fev 2023 20:11:52 -03; Group 1; worker-78b9ff59fc-q8qjs; 1.01677453112
dom 26 fev 2023 20:11:53 -03; Group 1; worker-78b9ff59fc-q8qjs; 1.01677453113
dom 26 fev 2023 20:11:53 -03; Group 1; worker-78b9ff59fc-q8qjs; .01677453113
dom 26 fev 2023 20:11:54 -03; Group 1; worker-78b9ff59fc-q8qjs; 1.01677453114
dom 26 fev 2023 20:11:55 -03; Group 1; worker-78b9ff59fc-q8qjs; 1.01677453115
