Data; Group; Nome_POD; WGET
dom 26 fev 2023 21:16:41 -03; Group 1; db-684b9b49fd-tkdq8; 20.01677457001
dom 26 fev 2023 21:17:02 -03; Group 1; db-684b9b49fd-tkdq8; 61.01677457022
dom 26 fev 2023 21:17:22 -03; Group 1; db-684b9b49fd-tkdq8; 20.01677457042
dom 26 fev 2023 21:17:42 -03; Group 1; db-684b9b49fd-tkdq8; 20.01677457062
dom 26 fev 2023 21:18:02 -03; Group 1; db-684b9b49fd-tkdq8; 60.01677457082
dom 26 fev 2023 21:18:23 -03; Group 1; db-684b9b49fd-tkdq8; 21.01677457103
dom 26 fev 2023 21:18:43 -03; Group 1; db-684b9b49fd-tkdq8; 20.01677457123
dom 26 fev 2023 21:19:03 -03; Group 1; db-684b9b49fd-tkdq8; 60.01677457143
dom 26 fev 2023 21:19:24 -03; Group 1; db-684b9b49fd-tkdq8; 21.01677457164
dom 26 fev 2023 21:19:44 -03; Group 1; db-684b9b49fd-tkdq8; 20.01677457184
dom 26 fev 2023 21:20:04 -03; Group 1; db-684b9b49fd-tkdq8; 60.01677457204
dom 26 fev 2023 21:20:24 -03; Group 1; db-684b9b49fd-tkdq8; 20.01677457224
dom 26 fev 2023 21:20:45 -03; Group 1; db-684b9b49fd-tkdq8; 21.01677457245
dom 26 fev 2023 21:21:05 -03; Group 1; db-684b9b49fd-tkdq8; 60.01677457265
dom 26 fev 2023 21:21:25 -03; Group 1; db-684b9b49fd-tkdq8; 20.01677457285
dom 26 fev 2023 21:21:45 -03; Group 1; db-684b9b49fd-tkdq8; 20.01677457305
dom 26 fev 2023 21:22:06 -03; Group 1; db-684b9b49fd-tkdq8; 61.01677457326
dom 26 fev 2023 21:22:26 -03; Group 1; db-684b9b49fd-tkdq8; 20.01677457346
dom 26 fev 2023 21:22:46 -03; Group 1; db-684b9b49fd-tkdq8; 20.01677457366
dom 26 fev 2023 21:23:06 -03; Group 1; db-684b9b49fd-tkdq8; 60.01677457386
dom 26 fev 2023 21:23:27 -03; Group 1; db-684b9b49fd-tkdq8; 21.01677457407
dom 26 fev 2023 21:23:47 -03; Group 1; db-684b9b49fd-tkdq8; 20.01677457427
dom 26 fev 2023 21:24:07 -03; Group 1; db-684b9b49fd-tkdq8; 60.01677457447
dom 26 fev 2023 21:24:27 -03; Group 1; db-684b9b49fd-tkdq8; 20.01677457467
dom 26 fev 2023 21:24:48 -03; Group 1; db-684b9b49fd-tkdq8; 21.01677457488
dom 26 fev 2023 21:25:08 -03; Group 1; db-684b9b49fd-tkdq8; 60.01677457508
dom 26 fev 2023 21:25:28 -03; Group 1; db-684b9b49fd-tkdq8; 20.01677457528
dom 26 fev 2023 21:25:48 -03; Group 1; db-684b9b49fd-tkdq8; 20.01677457548
