Data; Group; Nome_POD; WGET
seg 27 fev 2023 06:12:44 -03; Group 1; db-684b9b49fd-bnrfq; 00.285
seg 27 fev 2023 06:12:45 -03; Group 1; db-684b9b49fd-bnrfq; 00.272
seg 27 fev 2023 06:12:46 -03; Group 1; db-684b9b49fd-bnrfq; 00.329
seg 27 fev 2023 06:12:47 -03; Group 1; db-684b9b49fd-bnrfq; 00.284
seg 27 fev 2023 06:12:47 -03; Group 1; db-684b9b49fd-bnrfq; 00.259
seg 27 fev 2023 06:12:48 -03; Group 1; db-684b9b49fd-bnrfq; 00.300
seg 27 fev 2023 06:12:48 -03; Group 1; db-684b9b49fd-bnrfq; 00.306
seg 27 fev 2023 06:12:49 -03; Group 1; db-684b9b49fd-bnrfq; 00.288
seg 27 fev 2023 06:12:50 -03; Group 1; db-684b9b49fd-bnrfq; 00.304
seg 27 fev 2023 06:12:51 -03; Group 1; db-684b9b49fd-bnrfq; 00.269
seg 27 fev 2023 06:12:51 -03; Group 1; db-684b9b49fd-bnrfq; 00.290
seg 27 fev 2023 06:12:52 -03; Group 1; db-684b9b49fd-bnrfq; 00.283
seg 27 fev 2023 06:12:53 -03; Group 1; db-684b9b49fd-bnrfq; 00.267
seg 27 fev 2023 06:12:53 -03; Group 1; db-684b9b49fd-bnrfq; 00.280
seg 27 fev 2023 06:12:54 -03; Group 1; db-684b9b49fd-bnrfq; 00.319
seg 27 fev 2023 06:12:55 -03; Group 1; db-684b9b49fd-bnrfq; 00.282
seg 27 fev 2023 06:12:55 -03; Group 1; db-684b9b49fd-bnrfq; 00.259
seg 27 fev 2023 06:12:56 -03; Group 1; db-684b9b49fd-bnrfq; 00.299
seg 27 fev 2023 06:12:57 -03; Group 1; db-684b9b49fd-bnrfq; 00.296
seg 27 fev 2023 06:12:57 -03; Group 1; db-684b9b49fd-bnrfq; 00.284
seg 27 fev 2023 06:12:58 -03; Group 1; db-684b9b49fd-bnrfq; 00.290
seg 27 fev 2023 06:12:59 -03; Group 1; db-684b9b49fd-bnrfq; 00.300
seg 27 fev 2023 06:12:59 -03; Group 1; db-684b9b49fd-bnrfq; 00.293
seg 27 fev 2023 06:13:00 -03; Group 1; db-684b9b49fd-bnrfq; 00.352
seg 27 fev 2023 06:13:01 -03; Group 1; db-684b9b49fd-bnrfq; 00.297
seg 27 fev 2023 06:13:01 -03; Group 1; db-684b9b49fd-bnrfq; 00.273
seg 27 fev 2023 06:13:02 -03; Group 1; db-684b9b49fd-bnrfq; 00.260
seg 27 fev 2023 06:13:03 -03; Group 1; db-684b9b49fd-bnrfq; 00.284
seg 27 fev 2023 06:13:03 -03; Group 1; db-684b9b49fd-bnrfq; 00.303
seg 27 fev 2023 06:13:04 -03; Group 1; db-684b9b49fd-bnrfq; 00.284
seg 27 fev 2023 06:13:05 -03; Group 1; redis-67db9bd79b-6v9ng; 00.33
seg 27 fev 2023 06:13:05 -03; Group 1; redis-67db9bd79b-6v9ng; 00.30
seg 27 fev 2023 06:13:06 -03; Group 1; redis-67db9bd79b-6v9ng; 00.33
seg 27 fev 2023 06:13:07 -03; Group 1; redis-67db9bd79b-6v9ng; 00.31
seg 27 fev 2023 06:13:08 -03; Group 1; redis-67db9bd79b-6v9ng; 00.33
seg 27 fev 2023 06:13:08 -03; Group 1; redis-67db9bd79b-6v9ng; 00.32
seg 27 fev 2023 06:13:09 -03; Group 1; redis-67db9bd79b-6v9ng; 00.32
seg 27 fev 2023 06:13:10 -03; Group 1; redis-67db9bd79b-6v9ng; 00.31
seg 27 fev 2023 06:13:11 -03; Group 1; redis-67db9bd79b-6v9ng; 00.32
seg 27 fev 2023 06:13:11 -03; Group 1; redis-67db9bd79b-6v9ng; 00.31
seg 27 fev 2023 06:13:12 -03; Group 1; redis-67db9bd79b-6v9ng; 00.30
seg 27 fev 2023 06:13:13 -03; Group 1; redis-67db9bd79b-6v9ng; 00.31
seg 27 fev 2023 06:13:13 -03; Group 1; redis-67db9bd79b-6v9ng; 00.32
seg 27 fev 2023 06:13:14 -03; Group 1; redis-67db9bd79b-6v9ng; 00.34
seg 27 fev 2023 06:13:15 -03; Group 1; redis-67db9bd79b-6v9ng; 00.29
seg 27 fev 2023 06:13:16 -03; Group 1; redis-67db9bd79b-6v9ng; 00.33
seg 27 fev 2023 06:13:16 -03; Group 1; redis-67db9bd79b-6v9ng; 00.29
seg 27 fev 2023 06:13:17 -03; Group 1; redis-67db9bd79b-6v9ng; 00.35
seg 27 fev 2023 06:13:18 -03; Group 1; redis-67db9bd79b-6v9ng; 00.32
seg 27 fev 2023 06:13:18 -03; Group 1; redis-67db9bd79b-6v9ng; 00.32
seg 27 fev 2023 06:13:19 -03; Group 1; redis-67db9bd79b-6v9ng; 00.30
seg 27 fev 2023 06:13:20 -03; Group 1; redis-67db9bd79b-6v9ng; 00.34
seg 27 fev 2023 06:13:21 -03; Group 1; redis-67db9bd79b-6v9ng; 00.38
seg 27 fev 2023 06:13:21 -03; Group 1; redis-67db9bd79b-6v9ng; 00.31
seg 27 fev 2023 06:13:22 -03; Group 1; redis-67db9bd79b-6v9ng; 00.34
seg 27 fev 2023 06:13:23 -03; Group 1; redis-67db9bd79b-6v9ng; 00.35
seg 27 fev 2023 06:13:23 -03; Group 1; redis-67db9bd79b-6v9ng; 00.30
seg 27 fev 2023 06:13:24 -03; Group 1; redis-67db9bd79b-6v9ng; 00.32
seg 27 fev 2023 06:13:25 -03; Group 1; redis-67db9bd79b-6v9ng; 00.31
seg 27 fev 2023 06:13:25 -03; Group 1; redis-67db9bd79b-6v9ng; 00.29
seg 27 fev 2023 06:13:26 -03; Group 1; result-77f68799c4-kbc42; 00.306
seg 27 fev 2023 06:13:27 -03; Group 1; result-77f68799c4-kbc42; 00.300
seg 27 fev 2023 06:13:27 -03; Group 1; result-77f68799c4-kbc42; 00.278
seg 27 fev 2023 06:13:28 -03; Group 1; result-77f68799c4-kbc42; 00.277
seg 27 fev 2023 06:13:29 -03; Group 1; result-77f68799c4-kbc42; 00.311
seg 27 fev 2023 06:13:29 -03; Group 1; result-77f68799c4-kbc42; 00.302
seg 27 fev 2023 06:13:30 -03; Group 1; result-77f68799c4-kbc42; 00.313
seg 27 fev 2023 06:13:31 -03; Group 1; result-77f68799c4-kbc42; 00.279
seg 27 fev 2023 06:13:32 -03; Group 1; result-77f68799c4-kbc42; 00.293
seg 27 fev 2023 06:13:32 -03; Group 1; result-77f68799c4-kbc42; 00.275
