Group,APT
Group 1,0.75
Group 1,0.71
Group 1,0.74
Group 1,0.70
Group 1,0.73
Group 1,0.73
Group 1,0.75
Group 1,1.42
Group 1,0.77
Group 1,0.74
Group 1,0.78
Group 1,0.72
Group 1,0.75
Group 1,0.77
Group 1,0.78
Group 1,0.74
Group 1,1.10
Group 1,0.74
Group 1,0.72
Group 1,0.74
Group 1,0.73
Group 1,0.72
Group 1,0.74
Group 1,0.75
Group 1,0.81
Group 1,1.07
Group 1,0.72
Group 1,0.75
Group 1,0.74
Group 1,0.74
Group 2,10.41
Group 2,10.38
Group 2,10.43
Group 2,10.40
Group 2,10.41
Group 2,10.71
Group 2,10.39
Group 2,10.38
Group 2,10.42
Group 2,10.39
Group 2,10.40
Group 2,10.51
Group 2,10.44
Group 2,10.40
Group 2,10.40
Group 2,10.39
Group 2,10.44
Group 2,10.44
Group 2,10.40
Group 2,10.38
Group 2,10.46
Group 2,10.40
Group 2,10.42
Group 2,10.39
Group 2,10.43
Group 2,10.39
Group 2,10.40
Group 2,10.42
Group 2,10.42
Group 2,10.41
