Data; Group; Nome_POD; PING
sex 17 fev 2023 10:54:26 -03; Group 1; db-684b9b49fd-bw6q4; 8.01676642066
sex 17 fev 2023 10:54:33 -03; Group 1; db-684b9b49fd-bw6q4; 7.01676642073
sex 17 fev 2023 10:54:40 -03; Group 1; db-684b9b49fd-bw6q4; 7.01676642080
sex 17 fev 2023 10:54:47 -03; Group 1; db-684b9b49fd-bw6q4; 7.01676642087
sex 17 fev 2023 10:54:55 -03; Group 1; db-684b9b49fd-bw6q4; 8.01676642095
sex 17 fev 2023 10:55:02 -03; Group 1; db-684b9b49fd-bw6q4; 47.01676642102
sex 17 fev 2023 10:55:09 -03; Group 1; db-684b9b49fd-bw6q4; 7.01676642109
sex 17 fev 2023 10:55:16 -03; Group 1; db-684b9b49fd-bw6q4; 7.01676642116
sex 17 fev 2023 10:55:23 -03; Group 1; db-684b9b49fd-bw6q4; 7.01676642123
sex 17 fev 2023 10:55:31 -03; Group 1; db-684b9b49fd-bw6q4; 8.01676642131
sex 17 fev 2023 10:55:38 -03; Group 1; db-684b9b49fd-bw6q4; 7.01676642138
sex 17 fev 2023 10:55:45 -03; Group 1; db-684b9b49fd-bw6q4; 7.01676642145
sex 17 fev 2023 10:55:52 -03; Group 1; db-684b9b49fd-bw6q4; 7.01676642152
sex 17 fev 2023 10:56:00 -03; Group 1; db-684b9b49fd-bw6q4; 48.01676642160
sex 17 fev 2023 10:56:07 -03; Group 1; db-684b9b49fd-bw6q4; 7.01676642167
sex 17 fev 2023 10:56:14 -03; Group 1; db-684b9b49fd-bw6q4; 7.01676642174
sex 17 fev 2023 10:56:21 -03; Group 1; db-684b9b49fd-bw6q4; 7.01676642181
sex 17 fev 2023 10:56:29 -03; Group 1; db-684b9b49fd-bw6q4; 8.01676642189
sex 17 fev 2023 10:56:36 -03; Group 1; db-684b9b49fd-bw6q4; 7.01676642196
sex 17 fev 2023 10:56:43 -03; Group 1; db-684b9b49fd-bw6q4; 7.01676642203
sex 17 fev 2023 10:56:50 -03; Group 1; db-684b9b49fd-bw6q4; 7.01676642210
sex 17 fev 2023 10:56:57 -03; Group 1; db-684b9b49fd-bw6q4; 7.01676642217
sex 17 fev 2023 10:57:05 -03; Group 1; db-684b9b49fd-bw6q4; 48.01676642225
sex 17 fev 2023 10:57:12 -03; Group 1; db-684b9b49fd-bw6q4; 7.01676642232
sex 17 fev 2023 10:57:19 -03; Group 1; db-684b9b49fd-bw6q4; 7.01676642239
sex 17 fev 2023 10:57:26 -03; Group 1; db-684b9b49fd-bw6q4; 7.01676642246
