Data; Group; Nome_POD; PING
ter 28 fev 2023 16:00:16 -03; Group 2; db-684b9b49fd-whqgb; 4058.01677610816
ter 28 fev 2023 16:00:34 -03; Group 2; db-684b9b49fd-whqgb; 18.01677610834
ter 28 fev 2023 16:00:53 -03; Group 2; db-684b9b49fd-whqgb; 19.01677610853
ter 28 fev 2023 16:01:11 -03; Group 2; db-684b9b49fd-whqgb; 58.01677610871
ter 28 fev 2023 16:01:29 -03; Group 2; db-684b9b49fd-whqgb; 18.01677610889
ter 28 fev 2023 16:01:48 -03; Group 2; db-684b9b49fd-whqgb; 19.01677610908
ter 28 fev 2023 16:02:06 -03; Group 2; db-684b9b49fd-whqgb; 58.01677610926
ter 28 fev 2023 16:02:24 -03; Group 2; db-684b9b49fd-whqgb; 18.01677610944
ter 28 fev 2023 16:02:42 -03; Group 2; db-684b9b49fd-whqgb; 18.01677610962
ter 28 fev 2023 16:03:01 -03; Group 2; db-684b9b49fd-whqgb; 59.01677610981
ter 28 fev 2023 16:03:19 -03; Group 2; db-684b9b49fd-whqgb; 18.01677610999
ter 28 fev 2023 16:03:37 -03; Group 2; db-684b9b49fd-whqgb; 18.01677611017
ter 28 fev 2023 16:03:55 -03; Group 2; db-684b9b49fd-whqgb; 18.01677611035
ter 28 fev 2023 16:04:13 -03; Group 2; db-684b9b49fd-whqgb; 58.01677611053
ter 28 fev 2023 16:04:32 -03; Group 2; db-684b9b49fd-whqgb; 19.01677611072
ter 28 fev 2023 16:04:50 -03; Group 2; db-684b9b49fd-whqgb; 18.01677611090
ter 28 fev 2023 16:05:08 -03; Group 2; db-684b9b49fd-whqgb; 58.01677611108
ter 28 fev 2023 16:05:26 -03; Group 2; db-684b9b49fd-whqgb; 18.01677611126
ter 28 fev 2023 16:05:45 -03; Group 2; db-684b9b49fd-whqgb; 19.01677611145
ter 28 fev 2023 16:06:03 -03; Group 2; db-684b9b49fd-whqgb; 58.01677611163
ter 28 fev 2023 16:06:21 -03; Group 2; db-684b9b49fd-whqgb; 18.01677611181
ter 28 fev 2023 16:06:39 -03; Group 2; db-684b9b49fd-whqgb; 18.01677611199
ter 28 fev 2023 16:06:58 -03; Group 2; db-684b9b49fd-whqgb; 19.01677611218
ter 28 fev 2023 16:07:16 -03; Group 2; db-684b9b49fd-whqgb; 58.01677611236
ter 28 fev 2023 16:07:34 -03; Group 2; db-684b9b49fd-whqgb; 18.01677611254
ter 28 fev 2023 16:07:52 -03; Group 2; db-684b9b49fd-whqgb; 18.01677611272
ter 28 fev 2023 16:08:11 -03; Group 2; db-684b9b49fd-whqgb; 59.01677611291
ter 28 fev 2023 16:08:29 -03; Group 2; db-684b9b49fd-whqgb; 18.01677611309
ter 28 fev 2023 16:08:47 -03; Group 2; db-684b9b49fd-whqgb; 18.01677611327
ter 28 fev 2023 16:09:05 -03; Group 2; db-684b9b49fd-whqgb; 58.01677611345
ter 28 fev 2023 16:09:23 -03; Group 2; redis-67db9bd79b-cp5zn; 18.01677611363
ter 28 fev 2023 16:09:40 -03; Group 2; redis-67db9bd79b-cp5zn; 17.01677611380
ter 28 fev 2023 16:09:58 -03; Group 2; redis-67db9bd79b-cp5zn; 18.01677611398
ter 28 fev 2023 16:10:15 -03; Group 2; redis-67db9bd79b-cp5zn; 57.01677611415
ter 28 fev 2023 16:10:32 -03; Group 2; redis-67db9bd79b-cp5zn; 17.01677611432
ter 28 fev 2023 16:10:50 -03; Group 2; redis-67db9bd79b-cp5zn; 18.01677611450
ter 28 fev 2023 16:11:07 -03; Group 2; redis-67db9bd79b-cp5zn; 57.01677611467
ter 28 fev 2023 16:11:25 -03; Group 2; redis-67db9bd79b-cp5zn; 18.01677611485
ter 28 fev 2023 16:11:42 -03; Group 2; redis-67db9bd79b-cp5zn; 17.01677611502
ter 28 fev 2023 16:12:00 -03; Group 2; redis-67db9bd79b-cp5zn; 58.01677611520
ter 28 fev 2023 16:12:17 -03; Group 2; redis-67db9bd79b-cp5zn; 17.01677611537
ter 28 fev 2023 16:12:34 -03; Group 2; redis-67db9bd79b-cp5zn; 17.01677611554
ter 28 fev 2023 16:12:52 -03; Group 2; redis-67db9bd79b-cp5zn; 18.01677611572
