Data; Group; Nome_POD; CURL
seg 27 fev 2023 06:10:56 -03; Group 1; db-684b9b49fd-bnrfq; 00.319
seg 27 fev 2023 06:10:57 -03; Group 1; db-684b9b49fd-bnrfq; 00.314
seg 27 fev 2023 06:10:57 -03; Group 1; db-684b9b49fd-bnrfq; 00.297
seg 27 fev 2023 06:10:58 -03; Group 1; db-684b9b49fd-bnrfq; 00.266
seg 27 fev 2023 06:10:59 -03; Group 1; db-684b9b49fd-bnrfq; 00.301
seg 27 fev 2023 06:10:59 -03; Group 1; db-684b9b49fd-bnrfq; 00.292
seg 27 fev 2023 06:11:00 -03; Group 1; db-684b9b49fd-bnrfq; 00.314
seg 27 fev 2023 06:11:01 -03; Group 1; db-684b9b49fd-bnrfq; 00.434
seg 27 fev 2023 06:11:02 -03; Group 1; db-684b9b49fd-bnrfq; 00.292
seg 27 fev 2023 06:11:02 -03; Group 1; db-684b9b49fd-bnrfq; 00.287
seg 27 fev 2023 06:11:03 -03; Group 1; db-684b9b49fd-bnrfq; 00.440
seg 27 fev 2023 06:11:04 -03; Group 1; db-684b9b49fd-bnrfq; 00.280
seg 27 fev 2023 06:11:04 -03; Group 1; db-684b9b49fd-bnrfq; 00.297
seg 27 fev 2023 06:11:05 -03; Group 1; db-684b9b49fd-bnrfq; 00.280
seg 27 fev 2023 06:11:06 -03; Group 1; db-684b9b49fd-bnrfq; 00.290
seg 27 fev 2023 06:11:06 -03; Group 1; db-684b9b49fd-bnrfq; 00.301
seg 27 fev 2023 06:11:07 -03; Group 1; db-684b9b49fd-bnrfq; 00.288
seg 27 fev 2023 06:11:08 -03; Group 1; db-684b9b49fd-bnrfq; 00.265
seg 27 fev 2023 06:11:08 -03; Group 1; db-684b9b49fd-bnrfq; 00.298
seg 27 fev 2023 06:11:09 -03; Group 1; db-684b9b49fd-bnrfq; 00.292
seg 27 fev 2023 06:11:10 -03; Group 1; db-684b9b49fd-bnrfq; 00.285
seg 27 fev 2023 06:11:11 -03; Group 1; db-684b9b49fd-bnrfq; 00.291
seg 27 fev 2023 06:11:11 -03; Group 1; db-684b9b49fd-bnrfq; 00.307
seg 27 fev 2023 06:11:12 -03; Group 1; db-684b9b49fd-bnrfq; 00.296
seg 27 fev 2023 06:11:13 -03; Group 1; db-684b9b49fd-bnrfq; 00.303
seg 27 fev 2023 06:11:13 -03; Group 1; db-684b9b49fd-bnrfq; 00.307
seg 27 fev 2023 06:11:14 -03; Group 1; db-684b9b49fd-bnrfq; 00.275
seg 27 fev 2023 06:11:15 -03; Group 1; db-684b9b49fd-bnrfq; 00.277
seg 27 fev 2023 06:11:15 -03; Group 1; db-684b9b49fd-bnrfq; 00.314
seg 27 fev 2023 06:11:16 -03; Group 1; db-684b9b49fd-bnrfq; 00.310
