Group,APT
Group 1,1.56
Group 1,0.75
Group 1,0.73
Group 1,0.72
Group 1,0.68
Group 1,0.89
Group 1,0.71
Group 1,0.69
Group 1,0.68
Group 1,1.14
Group 1,0.73
Group 1,0.68
Group 1,0.75
Group 1,0.74
Group 1,0.69
Group 1,0.72
Group 1,0.72
Group 1,0.75
Group 1,1.10
Group 1,0.70
Group 1,0.75
Group 1,0.72
Group 1,0.82
Group 1,0.73
Group 1,0.71
Group 1,0.68
Group 1,0.69
Group 1,1.83
Group 1,0.71
Group 1,0.73
