Group,WGET
Group 1,01.034
Group 1,00.686
Group 1,00.747
Group 1,00.618
Group 1,00.677
Group 1,00.644
Group 1,00.599
Group 1,00.642
Group 1,00.669
Group 1,00.636
Group 1,00.685
Group 1,00.680
Group 1,00.646
Group 1,00.646
Group 1,00.672
Group 1,00.647
Group 1,00.685
Group 1,00.676
Group 1,00.662
Group 1,00.654
Group 1,00.690
Group 1,00.673
Group 1,00.677
Group 1,00.682
Group 1,00.634
Group 1,00.658
Group 1,00.680
Group 1,00.986
Group 1,00.735
Group 1,00.643
