Data; Group; Nome_POD; APT
sáb 25 fev 2023 22:59:49 -03; Group 1; db-684b9b49fd-m6zb8; 01.587
sáb 25 fev 2023 22:59:51 -03; Group 1; db-684b9b49fd-m6zb8; 01.324
sáb 25 fev 2023 22:59:53 -03; Group 1; db-684b9b49fd-m6zb8; 01.500
sáb 25 fev 2023 22:59:55 -03; Group 1; db-684b9b49fd-m6zb8; 01.486
sáb 25 fev 2023 22:59:57 -03; Group 1; db-684b9b49fd-m6zb8; 01.459
sáb 25 fev 2023 22:59:58 -03; Group 1; db-684b9b49fd-m6zb8; 01.544
sáb 25 fev 2023 23:00:00 -03; Group 1; db-684b9b49fd-m6zb8; 01.470
sáb 25 fev 2023 23:00:02 -03; Group 1; db-684b9b49fd-m6zb8; 01.549
sáb 25 fev 2023 23:00:04 -03; Group 1; db-684b9b49fd-m6zb8; 01.579
sáb 25 fev 2023 23:00:06 -03; Group 1; db-684b9b49fd-m6zb8; 01.515
sáb 25 fev 2023 23:00:08 -03; Group 1; db-684b9b49fd-m6zb8; 01.631
sáb 25 fev 2023 23:00:10 -03; Group 1; db-684b9b49fd-m6zb8; 01.401
sáb 25 fev 2023 23:00:12 -03; Group 1; db-684b9b49fd-m6zb8; 01.636
sáb 25 fev 2023 23:00:14 -03; Group 1; db-684b9b49fd-m6zb8; 01.581
sáb 25 fev 2023 23:00:16 -03; Group 1; db-684b9b49fd-m6zb8; 01.409
sáb 25 fev 2023 23:00:18 -03; Group 1; db-684b9b49fd-m6zb8; 01.734
sáb 25 fev 2023 23:00:20 -03; Group 1; db-684b9b49fd-m6zb8; 01.419
sáb 25 fev 2023 23:00:22 -03; Group 1; db-684b9b49fd-m6zb8; 01.526
sáb 25 fev 2023 23:00:23 -03; Group 1; db-684b9b49fd-m6zb8; 01.409
sáb 25 fev 2023 23:00:25 -03; Group 1; db-684b9b49fd-m6zb8; 01.448
sáb 25 fev 2023 23:00:27 -03; Group 1; db-684b9b49fd-m6zb8; 01.736
sáb 25 fev 2023 23:00:34 -03; Group 1; db-684b9b49fd-m6zb8; 06.391
sáb 25 fev 2023 23:00:36 -03; Group 1; db-684b9b49fd-m6zb8; 01.538
sáb 25 fev 2023 23:00:38 -03; Group 1; db-684b9b49fd-m6zb8; 01.641
sáb 25 fev 2023 23:00:40 -03; Group 1; db-684b9b49fd-m6zb8; 01.575
sáb 25 fev 2023 23:00:42 -03; Group 1; db-684b9b49fd-m6zb8; 01.454
sáb 25 fev 2023 23:00:44 -03; Group 1; db-684b9b49fd-m6zb8; 01.559
sáb 25 fev 2023 23:00:46 -03; Group 1; db-684b9b49fd-m6zb8; 01.512
sáb 25 fev 2023 23:00:48 -03; Group 1; db-684b9b49fd-m6zb8; 01.681
sáb 25 fev 2023 23:00:50 -03; Group 1; db-684b9b49fd-m6zb8; 01.407
sáb 25 fev 2023 23:00:52 -03; Group 1; redis-67db9bd79b-dxqz2; 1.85
sáb 25 fev 2023 23:00:53 -03; Group 1; redis-67db9bd79b-dxqz2; 0.71
sáb 25 fev 2023 23:00:54 -03; Group 1; redis-67db9bd79b-dxqz2; 0.72
sáb 25 fev 2023 23:00:55 -03; Group 1; redis-67db9bd79b-dxqz2; 0.71
sáb 25 fev 2023 23:00:57 -03; Group 1; redis-67db9bd79b-dxqz2; 0.70
sáb 25 fev 2023 23:00:58 -03; Group 1; redis-67db9bd79b-dxqz2; 0.81
sáb 25 fev 2023 23:00:59 -03; Group 1; redis-67db9bd79b-dxqz2; 0.71
sáb 25 fev 2023 23:01:00 -03; Group 1; redis-67db9bd79b-dxqz2; 0.71
sáb 25 fev 2023 23:01:01 -03; Group 1; redis-67db9bd79b-dxqz2; 0.72
sáb 25 fev 2023 23:01:02 -03; Group 1; redis-67db9bd79b-dxqz2; 0.90
sáb 25 fev 2023 23:01:04 -03; Group 1; redis-67db9bd79b-dxqz2; 0.91
sáb 25 fev 2023 23:01:05 -03; Group 1; redis-67db9bd79b-dxqz2; 0.71
sáb 25 fev 2023 23:01:06 -03; Group 1; redis-67db9bd79b-dxqz2; 0.72
sáb 25 fev 2023 23:01:07 -03; Group 1; redis-67db9bd79b-dxqz2; 0.73
sáb 25 fev 2023 23:01:08 -03; Group 1; redis-67db9bd79b-dxqz2; 0.70
sáb 25 fev 2023 23:01:09 -03; Group 1; redis-67db9bd79b-dxqz2; 0.69
sáb 25 fev 2023 23:01:10 -03; Group 1; redis-67db9bd79b-dxqz2; 0.70
sáb 25 fev 2023 23:01:12 -03; Group 1; redis-67db9bd79b-dxqz2; 0.74
sáb 25 fev 2023 23:01:13 -03; Group 1; redis-67db9bd79b-dxqz2; 0.88
sáb 25 fev 2023 23:01:14 -03; Group 1; redis-67db9bd79b-dxqz2; 0.92
sáb 25 fev 2023 23:01:15 -03; Group 1; redis-67db9bd79b-dxqz2; 0.74
sáb 25 fev 2023 23:01:16 -03; Group 1; redis-67db9bd79b-dxqz2; 0.71
sáb 25 fev 2023 23:01:18 -03; Group 1; redis-67db9bd79b-dxqz2; 0.86
sáb 25 fev 2023 23:01:19 -03; Group 1; redis-67db9bd79b-dxqz2; 0.73
sáb 25 fev 2023 23:01:20 -03; Group 1; redis-67db9bd79b-dxqz2; 0.73
sáb 25 fev 2023 23:01:21 -03; Group 1; redis-67db9bd79b-dxqz2; 0.75
sáb 25 fev 2023 23:01:22 -03; Group 1; redis-67db9bd79b-dxqz2; 0.68
sáb 25 fev 2023 23:01:23 -03; Group 1; redis-67db9bd79b-dxqz2; 0.87
sáb 25 fev 2023 23:01:25 -03; Group 1; redis-67db9bd79b-dxqz2; 0.88
sáb 25 fev 2023 23:01:26 -03; Group 1; redis-67db9bd79b-dxqz2; 0.69
sáb 25 fev 2023 23:01:28 -03; Group 1; result-77f68799c4-6z8xk; 01.795
sáb 25 fev 2023 23:01:30 -03; Group 1; result-77f68799c4-6z8xk; 01.529
sáb 25 fev 2023 23:01:32 -03; Group 1; result-77f68799c4-6z8xk; 01.582
sáb 25 fev 2023 23:01:34 -03; Group 1; result-77f68799c4-6z8xk; 01.433
sáb 25 fev 2023 23:01:35 -03; Group 1; result-77f68799c4-6z8xk; 01.475
sáb 25 fev 2023 23:01:37 -03; Group 1; result-77f68799c4-6z8xk; 01.672
sáb 25 fev 2023 23:01:39 -03; Group 1; result-77f68799c4-6z8xk; 01.453
sáb 25 fev 2023 23:01:41 -03; Group 1; result-77f68799c4-6z8xk; 01.508
sáb 25 fev 2023 23:01:43 -03; Group 1; result-77f68799c4-6z8xk; 01.477
