Group,CURL
Group 1,00.26
Group 1,00.27
Group 1,00.25
Group 1,00.27
Group 1,00.29
Group 1,00.26
Group 1,00.27
Group 1,00.26
Group 1,00.25
Group 1,00.26
Group 1,00.27
Group 1,00.31
Group 1,00.25
Group 1,00.28
Group 1,00.23
Group 1,00.27
Group 1,00.26
Group 1,00.25
Group 1,00.25
Group 1,00.23
Group 1,00.29
Group 1,00.25
Group 1,00.26
Group 1,00.27
Group 1,00.27
Group 1,00.27
Group 1,00.25
Group 1,00.27
Group 1,00.27
Group 1,00.26
Group 2,05.02
Group 2,05.01
Group 2,05.01
Group 2,05.02
Group 2,05.01
Group 2,05.01
Group 2,05.01
Group 2,05.01
Group 2,05.01
Group 2,05.01
Group 2,05.01
Group 2,05.04
Group 2,05.01
Group 2,05.01
Group 2,05.01
Group 2,05.02
Group 2,05.01
Group 2,05.01
Group 2,05.00
Group 2,05.01
Group 2,05.01
Group 2,05.01
Group 2,05.01
Group 2,05.01
Group 2,05.01
Group 2,05.01
Group 2,05.01
Group 2,05.01
Group 2,05.01
Group 2,05.01
